contributor_wikidata_qid,contributor_name,source_type,filename,call_number,title,ds_id,marc_001,catalog_id,catalog_id_field,marc_005,institutional_record_date,catalog_url,iiif_manifest,generated_at
Q49117,University of Pennsylvania,marc-xml,9958279783503681.xml,Oversize LJS 177,Paludi Pontine,"",9958279783503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9958279783503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3bk16q7m/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9958452103503681.xml,Oversize LJS 184,Liber ethimologiarum,"",9958452103503681,"","",20211011114819.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9958452103503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3sn01497/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9958589513503681.xml,LJS 195,Medical miscellany,"",9958589513503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9958589513503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3qr4nr67/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9958778333503681.xml,LJS 172,Tabulae directionum et profectionum,"",9958778333503681,"","",20211221114245.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9958778333503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3s17st1w/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9958854883503681.xml,LJS 220,Recueil de diverses recettes médécinales,"",9958854883503681,"","",20211011114819.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9958854883503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p31c1tg53/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9958895573503681.xml,LJS 236,Thesaurus pauperum ... etc,"",9958895573503681,"","",20211011114819.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9958895573503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3wk8z/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9959171953503681.xml,Oversize LJS 255,Manuscript leaf from De casibus virorum illustrium,"",9959171953503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9959171953503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p31p4q/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9959387343503681.xml,Oversize LJS 224,Expositio in libros Posteriorum Aristotelis,"",9959387343503681,"","",20211011114817.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9959387343503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3h98zd74/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9959415183503681.xml,LJS 229,Commentaries on Aristotle and Porphyry,"",9959415183503681,"","",20211011114816.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9959415183503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3zk55n01/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9959419423503681.xml,Oversize LJS 234,Liber phisicorum sive auditus phisici,"",9959419423503681,"","",20211222111638.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9959419423503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3p843w7r/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9962496313503681.xml,Ms. Codex 1959,Miftāḥ al-Falāḥ,"",9962496313503681,"","",20210929170138.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9962496313503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3sq8qq3z/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9962565163503681.xml,Ms. Codex 1963,Ḥall al-ṭilsam wa-kashf al-sirr al-mubham,"",9962565163503681,"","",20210929170207.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9962565163503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3bv7b23v/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9962793853503681.xml,Ms. Codex 1962,Ḥāshiyah ʻalá Sharḥ al-Saʻd ʻalá al-ʻAqāʼid al-Nasafīyah,"",9962793853503681,"","",20210929170122.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9962793853503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3gm81v63/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9962793863503681.xml,Ms. Codex 1964,Questions and answers on Shiʻī religious philosophy and practice,"",9962793863503681,"","",20210929170135.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9962793863503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3736m80h/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9962793893503681.xml,Ms. Codex 1743,Hādhā kitāb irshād /,"",9962793893503681,"","",20210929170152.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9962793893503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3s46hc6t/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9962793903503681.xml,Ms. Codex 1961,Jihat al-waḥdah,"",9962793903503681,"","",20210929170141.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9962793903503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3610vz60/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9962793913503681.xml,Ms. Roll 1965,al-Qurʼān,"",9962793913503681,"","",20210929170200.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9962793913503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3k931c96/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9962878673503681.xml,Ms. Coll. 390,Tattvaviveka,"",9962878673503681,"","",20211025110611.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9962878673503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3625f/manifest,2023-01-23T18:08:05-05:00
