subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Città di Castello (Italy)--Politics and government--13th century.,a--x--y,0,,Italy--Città di Castello;Politics and government;Thirteenth century,http://id.worldcat.org/fast/1204564;http://id.worldcat.org/fast/1919741;http://id.worldcat.org/fast/1150138,
Confession--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009121336,Confession;Early works,http://id.worldcat.org/fast/874645;http://id.worldcat.org/fast/1411636,
Criminal law--Italy.,a--z,0,http://id.loc.gov/authorities/subjects/sh2008100933,Criminal law;Italy,http://id.worldcat.org/fast/883328;http://id.worldcat.org/fast/1204565,
Cryptography--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009119733,Cryptography;Early works,http://id.worldcat.org/fast/884552;http://id.worldcat.org/fast/1411636,
"Devotional literature, Sanskrit",a,0,,"Devotional literature, Sanskrit",http://id.worldcat.org/fast/892043,
"Devotional poetry, Arabic.",a,0,http://id.loc.gov/authorities/subjects/sh98003813--(uri) http://id.loc.gov/authorities/subjects/sh98003813,"Devotional poetry, Arabic",http://id.worldcat.org/fast/892054,
Dharma--Hinduism,a--x,0,,Dharma;Hinduism,http://id.worldcat.org/fast/892093;http://id.worldcat.org/fast/957121,
"Didactic literature, English (Middle)",a,0,http://id.loc.gov/authorities/subjects/sh95010838,"Didactic literature, English (Middle)",http://id.worldcat.org/fast/892953,
Dīkṣā--Early works to 1800,a--v,0,,Dīkṣā;Early works,http://id.worldcat.org/fast/900398;http://id.worldcat.org/fast/1411636,
"Dissenters, Religious",a,fast,http://id.worldcat.org/fast/895414,"Dissenters, Religious",http://id.worldcat.org/fast/895414,
